No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje,2016Ene,2016Feb,2016Mar,2016Abr,2016May,2016Jun,2016Jul,2016Ago,2016Sep,2016Oct,2016Nov,2016Dic,2017Ene,2017Feb,2017Mar,2017Abr,2017May,2017Jun,2017Jul,2017Ago,2017Sep,2017Oct,2017Nov,2017Dic,2018Ene,2018Feb,2018Mar,2018Abr,2018May,2018Jun,2018Jul,2018Ago,2018Sept,2018Oct,2018Nov,2018Dic
102,BBY,BUCARAMANGA - BARRANCABERMEJA - YONDÓ,RIO SOGAMOSO,1407381400,1250353400,1342766700,1244240800,1288514800,1344636600,1395141600,1380876700,1318791300,1346364700,1312799500,1516516600,1497558800,1264700100,1340984000,1338833300,1305408900,1342112700,1397535300,1373798000,1324665000,1451480600,1412049900,948616500,940673400,973823400,1162331350,1122420400,1139217300,1200844700,1233018400,1234582700,1144462800,1214083000,1206201300,1428273500
103,BP,BUCARAMANGA - PAMPLONA,EL PICACHO,0,0,0,0,0,0,603535800,699828700,627702300,670084600,668215500,754098700,780967900,644494500,679920300,727289300,720243400,705948100,734409500,742064000,701635300,787062800,758104800,839589700,840544750,646295500,755910808,754531800,580060700,741190400,787753300,772916900,718523700,755005900,716675300,891568600
104,BL,BUGA - LOBOGUERRERO,LOBOGUERRERO,2698493400,2352882400,2677271500,2644123500,2754427500,2158119100,2327491900,3324429600,2901793700,859357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,CB2,CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,GALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88497500
106,CB2,CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,JUAN MINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,M1,CONCESIÓN AUTOPISTA AL MAR 1,PALMITAS,0,0,0,0,0,0,1773989500,1684191400,1566355200,1801628300,1639931100,1751298372,2292398450,1595590300,1752745500,1831072700,1742241300,1828865600,2007886900,1811144400,1669604500,1933224000,1918124700,2248674700,2069127800,1665738300,2003782700,1830973500,2035593900,2574916900,2274093700,1919259700,1902985700,2058098800,2002961500,2386973300
108,M1,CONCESIÓN AUTOPISTA AL MAR 1,SAN CRISTOBAL,0,0,0,0,0,0,1748023400,1695942450,1593378200,1791859100,1660905200,2119734528,2097589250,1609127450,1772398400,1954679900,1638329300,1891626300,1981341750,1838369500,1720362100,1878220700,1902702500,2471531500,1975223400,1686556800,2148234600,1722756300,1894166600,2661981900,2077614300,1945408300,1852019300,2064759100,1990148700,2620090900
109,GHP,GIRARDOT - HONDA - PUERTO SALGAR,BRISAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,GHP,GIRARDOT - HONDA - PUERTO SALGAR,CAMBAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51198850,132886000,130708750,110166000,104668900,131308200,166971100,228001650,233251300,296104900,312980900,411973900
111,GHP,GIRARDOT - HONDA - PUERTO SALGAR,GUATAQUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,IP-AN,IP - ACCESOS NORTE,ANDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11839252300,10709340300,10219396200,11336499100,10816977600,11472514050,11208580800,11232762300,12102361800,11508458600,11774805400,11426322300,12552733500
113,IP-AN,IP - ACCESOS NORTE,FUSCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905829400,736880100,862149400,932348100,835540900,907037400,885423600,826186000,1092841100,1105375900,1042015800,1060943200,1109065100
114,IP-AN,IP - ACCESOS NORTE,UNISABANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272751600,258902000,256477500,248942500,247617100,224652300,217527300,228199900,173183400,157778100,181625800,193082000,185588800
115,IP-AB,IP - ANTIOQUIA BOLIVAR,CAIMANERA,0,0,0,0,0,0,33560000,478567050,386701650,444648000,428806300,606821500,937571050,414384500,468436200,756210850,421217150,529709700,520768250,487806950,398811200,481222900,482553050,646904700,969965800,421846000,662328800,454937000,468829750,690332300,573007500,479618200,412832900,492889400,458752900,639533800
116,IP-AB,IP - ANTIOQUIA BOLIVAR,CEDROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230606300,745050000,750025500,727359800,847882800,833068800,672540700,820388600,731159700,900178100,1106416900,859591400,765823600,774830600,801349500,745995500,863206700
117,IP-AB,IP - ANTIOQUIA BOLIVAR,LA APARTADA,1597246800,1190170100,1346262000,1199996750,1293357550,2143858600,1964287700,2610716100,2302741200,2400146900,2314701800,2561059200,2787817500,2177677400,2344824200,2442400700,2278668100,2352045100,2325983100,2402708600,2278156300,2437576500,2324861000,2749320100,3132844000,2334329200,2608384500,2530859100,1810370900,909735300,2310159500,2550116400,2264312800,2489442700,2494361300,2929608400
118,IP-AB,IP - ANTIOQUIA BOLIVAR,MANGUITOS,0,0,0,0,0,363342000,1588506150,2209057900,2010445300,2096084650,2002014550,2341947950,2637728850,2051017900,2270883000,2356884300,2270363000,2315760100,2300498500,2307800400,2266569700,2356259400,2288601000,2667556800,3107466400,2397012100,2642357100,2575713400,1989442400,1287208700,2413777200,2576352800,2291593600,2557701800,2517833100,2872627100
119,IP-AB,IP - ANTIOQUIA BOLIVAR,MATA DE CAÑA,1011029900,653211700,838102600,604127400,701718900,1021535800,1024817100,864602300,783102900,885613700,842121000,1040575300,1320860500,720857800,837182000,1107623100,806559100,941225550,968318600,933511700,814192600,892373900,868408000,1076174200,1367271200,729917300,1042166000,829257400,865436800,1124086200,1079628500,978131500,904462500,1024705000,930243400,1171301300
120,IP-AB,IP - ANTIOQUIA BOLIVAR,PURGATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386861100,1262420600,1361246800,1348990700,1558436700,1689762000,1246570700,1437264300,1330776600,1240759700,1198105300,1349502800,1360299600,1280051100,1381690400,1322513100,1545757200
121,IP-AB,IP - ANTIOQUIA BOLIVAR,SAN CARLOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,IP-AB,IP - ANTIOQUIA BOLIVAR,SAN ONOFRE,774410000,628462200,733209500,608805500,656454000,614601000,635451600,1019690600,930378800,907357200,888135200,1033337300,1122703000,866742000,973912200,1114992000,969873400,1040132700,1011385400,976759400,953471700,953694100,950461400,1123330900,1236633100,960229400,1122183400,1105495800,1037629000,1035941000,1108288800,1069565000,991343700,1042339900,1012341200,1234068700
123,IP-CM,IP - CAMBAO-MANIZALES,ALVARADO,1659429200,1320767100,1451902800,1400596000,1410749500,1422936500,1408058500,1510539700,1471005900,1936345000,1873130100,2102307900,2227833900,1769182500,1974480000,1963204300,1979664050,2040760100,2100175750,2070701600,1922039100,2012781000,1975753550,2192795200,2323889900,1796297350,2084340600,1961084950,2001270000,2051161800,2109909700,2109416500,1978283100,2077298650,1962879400,2167650700
124,IP-CM,IP - CAMBAO-MANIZALES,HONDA,1484741050,1101970050,1308953600,1150965850,1186450800,1225321900,1204650800,1330612400,1271621850,1767606400,1705278950,2025503500,2233237650,1612955300,1751895600,1847840600,1689734200,1891191500,1888030900,1838363800,1697821600,1860381200,1808280500,2137373250,2357807250,1701811850,2030168750,1825182800,1865132600,1983168900,2045994900,1967567350,1821475500,1965847900,1834830500,2083013100
125,IP-CG,IP - CESAR - GUAJIRA,RINCON HONDO,0,0,0,0,346980900,483823250,464843500,523935700,485742200,493239100,488165600,624728000,610257100,507092700,571007100,624573800,529768000,533843800,552759500,512157300,486472900,515762900,506661100,627885300,641586800,272719500,0,0,0,0,0,0,0,0,0,0
126,IP-CG,IP - CESAR - GUAJIRA,RIO SECO,0,0,0,0,0,0,0,0,164874100,537141750,522735800,660958000,621021700,263175150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,IP-CG,IP - CESAR - GUAJIRA,SAN DIEGO,0,0,0,0,152967800,571917750,563505400,568048650,534229300,527331750,522577200,627138150,588604200,527284950,588298650,558969150,559804300,581472550,608230300,596988650,562001000,590875450,582182150,687253900,659413800,369167400,0,0,0,0,0,0,0,0,0,0
128,IP-CG,IP - CESAR - GUAJIRA,SAN JUAN,871764500,766846600,865550400,820317300,835288800,964126800,1015191700,1012952100,961454800,980405400,971887450,1117228300,1097172250,963106400,1106010500,1095005250,1113768700,1150816050,1222118700,1199368800,1188429200,1246199700,1215070400,1431599100,1378342800,761020500,0,0,0,0,0,0,0,0,0,0
129,IP-MVM,IP - MALLA VIAL DEL META,CASETABLA,0,0,0,202605300,404731400,433853400,336896800,940296200,1167672500,1170002500,1045870050,1117899700,1185780800,784274200,441250400,393963800,402779400,368435600,398682200,419903600,391961400,405177700,430610600,446543800,420455150,371000200,431182700,444081550,447099000,413407900,430169400,453684400,405825100,495764950,494329000,484773400
130,IP-MVM,IP - MALLA VIAL DEL META,IRACA,1342646550,1042264450,1115257250,1002763350,1043285900,1057758950,1056668200,1162074000,1089657050,1104296150,1097987650,1244453450,1368357950,1106591000,1168054300,1144189450,1103495950,1074335350,1189345400,1251547550,1123515500,1169567100,1165313050,1316415250,1402580750,1043677350,1193923050,1109479700,1090089250,1082694800,1187380700,1164322650,1115173750,1168892600,1144437600,1324435850
131,IP-MVM,IP - MALLA VIAL DEL META,LA LIBERTAD,2243866100,2020627500,1959572900,1789947650,1647434150,1667727100,1569477750,1712022350,1631480500,1685787300,1597675350,1770268750,1927238400,1612812050,1785426600,1677351300,1661235700,1625383500,1680625650,1833599200,1640587400,1707903250,1797580300,2010341700,1976745050,1715986300,1926110900,1847076600,1870113700,1768127100,1828051450,1876851850,1717876000,1846053600,1869528500,1969428900
132,IP-MVM,IP - MALLA VIAL DEL META,OCOA,3347278900,2683015050,2881383900,2591092800,2696249450,2671632250,2606323000,2727102100,2557918550,2802626650,2786812750,3112532400,3332072650,2720063500,2994432300,2916701350,2826455650,2616521400,2832452400,2976982100,2759051750,2934272150,2913321250,3257351000,3319209450,2419350100,2937588800,2762345050,2823569500,2829360200,3033999550,2870923850,2977876700,3221020600,3190446000,3570245400
133,IP-MVM,IP - MALLA VIAL DEL META,YUCAO,0,0,0,147369000,290676200,302123700,228404300,633266700,793522600,801393200,763213500,879791500,1003944500,645057200,347297300,317516900,313943200,286797600,311765500,337439500,339372800,324274800,365213300,381827850,378326150,310477300,356673500,361154650,378701700,350739300,363626700,402182550,349110750,385154750,435070300,427265300
134,IP-NEG,IP - NEIVA GIRARDOT,EL PATA,0,0,0,0,0,530533200,1500580100,1544422750,1371321200,1515203600,1479848700,1776403350,1796282750,1365968400,1543461400,1675435350,1493232950,1719273050,1802871300,1632366000,1506771400,1701693550,1653301050,2046333200,2037028200,1500550400,1862167170,1660511900,1658556700,1874052800,1919087550,1797044050,1646320050,1905969200,1865765550,2224884950
135,IP-NEG,IP - NEIVA GIRARDOT,FLANDES,0,0,0,0,0,770073000,2409992300,2204147100,1990727200,2159697000,2001630150,2478923850,2662091100,1982193450,2224760800,2434459950,2245076200,2621905650,2766246000,2469741150,2229927400,2405512700,2293059600,2875876150,2925890400,2149918700,2677366700,2360112900,2340389200,2729106700,2987495450,2819450700,2525268900,2869363250,2678471200,3237072750
136,IP-NEG,IP - NEIVA GIRARDOT,NEIVA,0,0,0,0,0,657509100,1840742500,1895569350,1777273900,1944191550,1895418400,2179109650,2167210500,1723983200,1896397500,1978841000,1843133900,2104763800,2172916650,2029676150,1872003150,2105333350,2019520300,2416130550,2430152050,1914913100,2337416650,2114081600,2133371950,2306387950,2374300200,2250838700,2102632000,2381275250,2330950600,2720462000
137,IP-TC,IP - TERCER CARRIL,CHINAUTA,0,0,0,0,0,0,0,0,0,0,0,8885505850,9393478000,6669798700,7590272300,8293113950,7229644250,8687801950,9266115500,8364485000,7527521250,8627106300,7919369700,9675025800,9929343950,6965076400,8797031800,7546380600,7689699200,9176539050,9596295000,8869913600,7988204600,9215153850,8711789300,9968900050
138,IP-TC,IP - TERCER CARRIL,CHUSACA,0,0,0,0,0,0,0,0,0,0,0,10712227100,10900716700,7991321800,9035120400,9784502550,8738282400,10207107850,10809674100,9887201300,8943356950,10187311000,9504201700,11582901000,11473555150,8334228250,10483539350,9025058400,9176275100,10749071700,11104599950,10383853800,9485357000,10963737750,10395196700,12012935850
139,IP-VP,IP - VÍA AL PUERTO,LOBOGUERRERO,0,0,0,0,0,0,0,0,0,1950708700,2735222250,2736024950,1974372350,2685649750,2491606350,2924137000,1584107150,3186561700,3075210300,2844645600,2807570100,2673429700,2713771050,2611808100,2841244000,2592955100,2740314600,2801430950,3039575250,2928940900,3077413200,3375821300,3020136500,3096700300,3038272200,2907643500
140,IP-VN,IP - VÍA DEL NUS,CISNEROS,0,0,0,172899900,413543200,437250400,438940500,452540000,406750050,464692300,453232600,547389550,628000200,415602700,462502700,487534600,461183000,476318400,492105900,474419800,438298950,488346800,470879200,593596300,605354200,444387600,528228700,498864700,511856900,611131600,563140200,532323400,523584600,564433200,514702800,624989000
141,POC,PERIMETRAL DE ORIENTE DE CUNDINAMARCA,LA CABAÑA,585372850,551414550,623768200,568770850,602398300,592024100,566115900,610052800,556740250,599373300,589651000,603612800,663489650,614347750,666410850,629702100,659312050,598766000,629118100,651228700,608856800,638840900,607546350,601738700,642216600,585276200,625390250,567567750,542726050,499978000,497445650,515975000,525957000,554701550,572372850,622371100
142,POC,PERIMETRAL DE ORIENTE DE CUNDINAMARCA,PATIOS,1078544650,1060150050,1116714250,1113595050,1180269100,1135001900,1124097800,1129424650,1121783050,1137202600,1098610300,1201833100,1122184350,1097254950,1185279300,1147680950,1190679350,1120332450,1099673050,1144741000,1085334450,1078632350,1074176250,1170612500,1086753000,1053416100,1186997350,1114683050,1144455700,1073172750,938544300,1014979900,1016188650,1052101550,1099381250,1267051700
143,PHC,PUERTA DE HIERRO - CRUZ DEL VISO,CALAMAR,979470300,825006500,939530418,809638400,862592400,805806300,809058800,880365400,805815300,842909200,804739900,948664900,954605400,784911000,841038400,878259100,849799500,880647900,887510600,866617500,797741100,859584400,868783700,985053600,954357300,766516200,895204700,850614700,772319000,722425000,839070800,838028900,790865300,848822300,846989500,980666600
144,PHC,PUERTA DE HIERRO - CRUZ DEL VISO,EL CARMEN,1263536500,1019753700,1193819800,1053437100,1078715000,1035800500,1034526450,1159262800,1071888800,1177322100,1135098200,1329148250,1355806400,1038352700,1138655700,1176960300,1121246000,1150824800,1166242000,1134737800,1080068400,1168504900,1171295100,1338458200,1366758400,1026237600,1209960100,1153150600,1029099200,988493600,1166615200,1152737300,1080480100,1175085850,1152918100,1333861000
145,RP,RUMICHACA - PASTO,EL PLACER,1912606260,1643486700,1882526400,1757557000,1846765200,1376947400,1595026500,2114986700,1775657600,1840207400,1843770600,2138665250,2049444200,1716857800,1771840600,1851303000,1829400050,1843700300,2038911700,1998554950,1855225450,1885397550,1873566900,2236577450,2174293050,1797840150,2109521350,1985467250,2034015650,2027698900,2166842200,2112929000,1946893000,1981968850,1892676900,2145544250
146,SMN,SANTANA-MOCOA-NEIVA,ALTAMIRA,897229200,727568200,849542000,775343900,836189800,782643600,797252500,899136600,890835600,986426700,976688000,1083914600,1026025200,831348800,922533400,945317700,859769500,907360800,937902900,937030100,862162100,913620100,909386800,1047607000,1052404750,820941300,964838000,832832200,883287900,842452800,878718500,878398600,851838800,946871200,951010200,1088629800
147,SMN,SANTANA-MOCOA-NEIVA,LOS CAUCHOS,1383821850,1166403750,1312718150,1225580400,1299439900,1263578800,1269069650,1361228150,1324864300,1409495800,1393672350,1567409064,1439550750,1122225400,1341164500,1356628500,1297133300,1380126950,1442567850,1410243450,1331761050,1378981400,1353968700,1599764450,1516525750,1221803700,1429173000,1296809300,1323148700,1321953700,1392117700,1395656350,1328419400,1453270650,1415271800,1633511100
148,TVS,TRANSVERSAL DEL SISGA,MACHETA,550823100,365530800,469439800,353343900,436575200,423333600,407576700,428631200,397953000,461402250,444178200,513041700,582426300,375107000,424233600,473352200,429468000,454916000,456223400,446012000,410977300,465360100,463078500,569047700,593629500,404158800,511325800,415071000,437884000,464971800,445595050,449457000,412725200,509505800,499814100,600282950
149,VY,VILLAVICENCIO-YOPAL,PUENTE AMARILLO,1579903100,1426567950,1535688300,1416678650,1395321650,1342445750,1398594950,1496106700,1492741400,1434759800,1380958100,1531267700,1580979350,1365064050,1534092750,1521981550,1520355250,1480610600,1484724300,1694891700,1620453400,1565489450,1514894400,1725818600,1705232550,1415698400,1610766350,1481687350,1506463950,1467353550,1622784250,1615596450,1575771350,1626177300,1601349500,1772354200
150,VY,VILLAVICENCIO-YOPAL,SAN PEDRO,855126200,747969900,833619100,761539300,763046000,794948400,790850200,885257600,831770700,845479300,832910000,916746400,946494600,789358800,920208400,939085100,984774800,917259450,928009500,1123273400,1126174400,984900600,973390200,1053106000,1040651800,873915400,974299800,958475400,1050638200,1018936700,1084161600,1194884800,1087298100,1032662900,1067705500,1174569250
151,VY,VILLAVICENCIO-YOPAL,VERACRUZ,1097955100,934127900,1001782900,942950050,876815700,878253200,875353700,974551000,995121500,930642600,887067500,1012348900,1079100600,907081800,1024438500,991422550,1024384200,989594700,958646200,1171445300,1157853550,1039565400,998433100,1140910650,1175070600,941682900,1039665800,978738700,981480100,948246200,1067270700,1063520650,1033928300,1052316700,1026232400,1125883600
152,ZP,ZIPAQUIRÁ - PALENQUE,CASABLANCA,2850557050,2345029700,2771447596,2395518100,2573424950,2481652800,2382247150,2725316650,2472472550,2742840500,2644092000,2908149100,3035932200,2381931950,2591569900,2807097950,2523709450,2659363800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,ZP,ZIPAQUIRÁ - PALENQUE,CURITI,1736713600,1222291800,1513059500,1213525900,1323982000,1254103500,1149866500,1369615200,1277577400,1423756400,1419710700,1646457200,1800792800,1255855400,1393241200,1556269700,1385312800,1469882400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,ZP,ZIPAQUIRÁ - PALENQUE,LOS CUROS,1884646000,1456885100,1698117650,1444836100,1535456400,1466088800,1308147500,1609243550,1538645250,1660421100,1665549100,1885293900,1990962400,1510205100,1636824100,1752823350,1598617900,1667709600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,ZP,ZIPAQUIRÁ - PALENQUE,OIBA,1442324300,998620400,1249988500,1004880600,1099647850,1025016400,887747350,1159787900,1102602800,1216323800,1198786200,1411113950,1571536500,1079101200,1188110800,1343976900,1180928100,1256759500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,ZP,ZIPAQUIRÁ - PALENQUE,SABOYA,1208102600,769396400,1011397000,760608500,882574500,857996700,845144900,929338500,815046100,979714000,942859400,1110589000,1277161300,819098700,910888600,1051131800,896587700,970433800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
